MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,Age,RemodAge,TotalBath,TotalPorchSF
60,191004.99478714162,65.0,8450,164754.81837837838,180183.74675819985,176938.0475285171,197965.77333333335,184495.49206349207,210051.76404494382,7,5,171483.95617879054,213732.90097087377,214432.46031746033,204691.87191011236,196.0,4,3,225230.44204018547,4,3,165652.29590766,235413.72009569377,706,150,5,1,186810.63745318353,1710,3,1,4,8,183429.14705882352,0,202892.65632183908,2003.0,202068.86966824645,2,3,2,173401.8366219416,175202.21953255427,208500,2566,5,5,3.5,61
20,191004.99478714162,80.0,9600,164754.81837837838,180183.74675819985,177934.5744680851,180921.19589041636,142475.4814814815,175985.4779614325,6,8,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,149805.714511041,4,3,257689.80597014926,161573.06818181818,978,284,5,1,186810.63745318353,1262,3,1,3,6,183429.14705882352,3,202892.65632183908,1976.0,202068.86966824645,2,3,5,173401.8366219416,175202.21953255427,181500,2524,31,31,2.5,298
60,191004.99478714162,68.0,11250,206101.6652892562,180183.74675819985,176938.0475285171,197965.77333333335,184495.49206349207,210051.76404494382,7,5,171483.95617879054,213732.90097087377,214432.46031746033,204691.87191011236,162.0,4,3,225230.44204018547,4,3,192789.65789473685,235413.72009569377,486,434,5,1,186810.63745318353,1786,3,1,4,6,183429.14705882352,3,202892.65632183908,2001.0,202068.86966824645,2,3,9,173401.8366219416,175202.21953255427,223500,2706,7,6,3.5,42
70,191004.99478714162,60.0,9550,206101.6652892562,180183.74675819985,181623.4258555133,210624.72549019608,184495.49206349207,210051.76404494382,7,5,171483.95617879054,149841.64563106795,161328.94736842104,156958.24311926606,0.0,3,3,132291.07534246575,3,4,165652.29590766,161573.06818181818,216,540,4,1,186810.63745318353,1717,3,1,4,7,183429.14705882352,4,134091.16279069768,1998.0,142156.42314049587,3,3,2,173401.8366219416,146526.62376237623,140000,2473,91,36,2.0,307
60,191004.99478714162,84.0,14260,206101.6652892562,180183.74675819985,177934.5744680851,335295.31707317074,184495.49206349207,210051.76404494382,8,5,171483.95617879054,213732.90097087377,214432.46031746033,204691.87191011236,350.0,4,3,225230.44204018547,4,3,206643.42081447964,235413.72009569377,655,490,5,1,186810.63745318353,2198,4,1,4,9,183429.14705882352,3,202892.65632183908,2000.0,202068.86966824645,3,3,12,173401.8366219416,175202.21953255427,250000,3343,8,8,3.5,276
50,191004.99478714162,85.0,14115,206101.6652892562,180183.74675819985,176938.0475285171,156270.1224489796,184495.49206349207,143116.74025974027,5,5,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,3,180921.19589041095,4,3,165652.29590766,235413.72009569377,732,64,5,1,186810.63745318353,1362,1,1,3,5,183429.14705882352,0,202892.65632183908,1993.0,142156.42314049587,2,3,10,173401.8366219416,175202.21953255427,143000,2158,16,14,2.5,390
20,191004.99478714162,75.0,10084,164754.81837837838,180183.74675819985,176938.0475285171,225379.83720930232,184495.49206349207,175985.4779614325,8,5,171483.95617879054,213732.90097087377,214432.46031746033,265583.625,186.0,4,3,225230.44204018547,5,3,206643.42081447964,235413.72009569377,1369,317,5,1,186810.63745318353,1694,3,1,4,7,183429.14705882352,4,202892.65632183908,2004.0,202068.86966824645,2,3,8,173401.8366219416,175202.21953255427,307000,3380,3,2,3.0,312
60,191004.99478714162,80.0,10382,206101.6652892562,180183.74675819985,181623.4258555133,189050.0684931507,182101.39213365893,210051.76404494382,7,6,171483.95617879054,163077.45045045044,167661.5652173913,265583.625,240.0,3,3,149805.714511041,4,3,192789.65789473685,161573.06818181818,859,216,5,1,186810.63745318353,2090,3,1,3,7,183429.14705882352,3,202892.65632183908,1973.0,202068.86966824645,2,3,11,173401.8366219416,175202.21953255427,200000,3197,36,36,3.5,667
50,126316.83027522935,51.0,6120,164754.81837837838,180183.74675819985,176938.0475285171,128225.30088495575,135091.66666666666,143116.74025974027,7,5,171483.95617879054,194573.0,161328.94736842104,156958.24311926606,0.0,3,3,132291.07534246575,3,3,165652.29590766,170670.57674418605,0,952,4,1,107675.44444983017,1774,2,2,3,8,146385.48387096773,3,134091.16279069768,1931.0,142156.42314049587,2,2,4,173401.8366219416,146526.62376237623,129900,2726,77,58,2.0,295
190,191004.99478714162,50.0,7420,164754.81837837838,180183.74675819985,181623.4258555133,124834.05172413793,135091.66666666666,180921.19574454066,5,6,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,132291.07534246575,3,3,165652.29590766,235413.72009569377,851,140,5,1,186810.63745318353,1077,2,2,3,5,183429.14705882352,3,202892.65632183908,1939.0,202068.86966824645,1,4,1,173401.8366219416,175202.21953255427,118000,2068,69,58,2.0,4
